Project Name,Area (SQFT),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Transacted Price ($)
ONE PEARL BANK,839.59,Mar-22,PEARL BANK,New Sale,Strata,78,Apartment,1,99 yrs lease commencing from 2019,3,Rest of Central Region,16 to 20,2020000
WATERFORD RESIDENCE,"1,194.8",May-22,KIM YAM ROAD,Resale,Strata,111,Apartment,1,999 yrs lease commencing from 1841,9,Core Central Region,01 to 05,2300000
THE VIEW @ MEYER,"1,065.64",Feb-24,MEYER ROAD,Resale,Strata,99,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,2375000
THE VISION,"1,302.44",Apr-22,WEST COAST CRESCENT,Resale,Strata,121,Condominium,1,99 yrs lease commencing from 2008,5,Outside Central Region,01 to 05,1770000
THE REEF AT KING'S DOCK,678.13,Feb-21,HARBOURFRONT AVENUE,New Sale,Strata,63,Condominium,1,99 yrs lease commencing from 2021,4,Rest of Central Region,06 to 10,1493000
CENTRAL VIEW,"1,216.33",Jan-23,HOUGANG STREET 11,Resale,Strata,113,Condominium,1,99 yrs lease commencing from 1998,19,Outside Central Region,11 to 15,1288000
THE GARDENS AT BISHAN,882.65,Sep-24,SIN MING WALK,Resale,Strata,82.0,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,16 to 20,1515000
ENCHANTÉ,"1,700.71",Feb-24,EVELYN ROAD,New Sale,Strata,158,Apartment,1,Freehold,11,Core Central Region,16 to 20,5520000
LAKEHOLMZ,"1,033.34",Jun-24,CORPORATION ROAD,Resale,Strata,96,Condominium,1,99 yrs lease commencing from 2001,22,Outside Central Region,01 to 05,1230000
ADRIA,"1,485.43",Jan-21,DERBYSHIRE ROAD,Resale,Strata,138,Apartment,1,Freehold,11,Core Central Region,16 to 20,2500000
NORMANTON PARK,667.37,Apr-21,NORMANTON PARK,New Sale,Strata,62,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,06 to 10,1203935
MAYFAIR GARDENS,570.49,Nov-20,RIFLE RANGE ROAD,New Sale,Strata,53,Condominium,1,99 yrs lease commencing from 2018,21,Rest of Central Region,01 to 05,1155330
WATERFRONT KEY,"1,474.67",Mar-21,BEDOK RESERVOIR ROAD,Resale,Strata,137,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,01 to 05,1500000
ATTITUDE AT KIM YAM,333.68,Apr-21,KIM YAM ROAD,Resale,Strata,31,Apartment,1,999 yrs lease commencing from 1841,9,Core Central Region,01 to 05,730000
PARC RIVIERA,"1,184.04",Sep-21,WEST COAST VALE,Resale,Strata,110,Condominium,1,99 yrs lease commencing from 2015,5,Outside Central Region,16 to 20,1580000
COMMONWEALTH TOWERS,462.85,Jun-22,COMMONWEALTH AVENUE,Resale,Strata,43,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,11 to 15,900000
VAN HOLLAND,775.01,Nov-21,HOLLAND ROAD,New Sale,Strata,72,Condominium,1,Freehold,10,Core Central Region,01 to 05,2395074
TRILIVE,904.18,Sep-23,TAMPINES ROAD,Resale,Strata,84.0,Condominium,1,Freehold,19,Outside Central Region,06 to 10,1575000
ASCENTIA SKY,"2,561.83",Dec-22,ALEXANDRA VIEW,Resale,Strata,238,Condominium,1,99 yrs lease commencing from 2008,3,Rest of Central Region,41 to 45,4600000
TRE RESIDENCES,947.23,Oct-21,GEYLANG EAST AVENUE 1,Resale,Strata,88,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,11 to 15,1500000
SPOTTISWOODE PARK,"1,334.74",Jan-24,SPOTTISWOODE PARK ROAD,Resale,Strata,124,Apartment,1,85 yrs lease commencing from 1990,2,Rest of Central Region,01 to 05,1150000
LENTOR MODERN,731.95,Sep-22,LENTOR CENTRAL,New Sale,Strata,68,Apartment,1,99 yrs lease commencing from 2021,26,Outside Central Region,11 to 15,1522125
THE SIENA,979.52,Nov-23,TAN KIM CHENG ROAD,Resale,Strata,91.0,Apartment,1,99 yrs lease commencing from 2013,10,Core Central Region,01 to 05,1750000
LUCIDA,"3,853.51",Jul-22,SUFFOLK ROAD,Resale,Strata,358,Apartment,1,Freehold,11,Core Central Region,21 to 25,5000000
CASTLE GREEN,947.23,Jul-24,YIO CHU KANG ROAD,Resale,Strata,88,Condominium,1,99 yrs lease commencing from 1993,26,Outside Central Region,01 to 05,1185000
PARK COLONIAL,979.52,May-23,WOODLEIGH LANE,Resale,Strata,91,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,01 to 05,2020000
ONE PEARL BANK,"1,097.93",Aug-23,PEARL BANK,New Sale,Strata,102.0,Apartment,1,99 yrs lease commencing from 2019,3,Rest of Central Region,26 to 30,3100000
D'SUNRISE,667.37,Sep-23,JOO CHIAT LANE,Resale,Strata,62.0,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1010000
THE TRILINQ,914.94,Dec-23,JALAN LEMPENG,Resale,Strata,85.0,Condominium,1,99 yrs lease commencing from 2012,5,Outside Central Region,01 to 05,1635000
PARC ESTA,581.26,Mar-23,SIMS AVENUE,Sub Sale,Strata,54,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10,1290000
TREE HOUSE,"1,410.08",Mar-23,CHESTNUT AVENUE,Resale,Strata,131,Condominium,1,99 yrs lease commencing from 2009,23,Outside Central Region,11 to 15,2032500
THE ANSLEY,"1,302.44",Sep-24,MANDALAY ROAD,Resale,Strata,121.0,Condominium,1,Freehold,11,Core Central Region,21 to 25,2530000
RIVERSAILS,"2,400.37",Jul-21,UPPER SERANGOON CRESCENT,Resale,Strata,223,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,16 to 20,2300000
ONE EIGHTIES RESIDENCES,828.83,Nov-22,JOO CHIAT TERRACE,Resale,Strata,77,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1500000
STARVILLE,"1,216.33",Nov-24,LENGKONG TIGA,Resale,Strata,113.0,Condominium,1,Freehold,14,Outside Central Region,01 to 05,1688000
TREASURE AT TAMPINES,"1,087.16",Apr-24,TAMPINES LANE,Resale,Strata,101,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05,1728000
TEMBELING CENTRE,"1,323.97",Mar-22,TEMBELING ROAD,Resale,Strata,123,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1635000
LIV @ MB,"1,205.57",Jul-23,ARTHUR ROAD,New Sale,Strata,112.0,Condominium,1,99 yrs lease commencing from 2021,15,Rest of Central Region,01 to 05,2886000
LIVIA,914.94,Apr-22,PASIR RIS GROVE,Resale,Strata,85,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05,960000
YISHUN SAPPHIRE,"1,431.61",Mar-22,CANBERRA DRIVE,Resale,Strata,133,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,01 to 05,1275000
PARC OLYMPIA,796.54,Nov-22,FLORA DRIVE,Resale,Strata,74,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05,888000
TREASURE AT TAMPINES,592.02,Dec-23,TAMPINES LANE,Sub Sale,Strata,55.0,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10,965000
THE ANTARES,602.78,Nov-20,MATTAR ROAD,New Sale,Strata,56,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,01 to 05,943860
NESS,462.85,Nov-23,LORONG 32 GEYLANG,Resale,Strata,43.0,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,718000
TRIBECA,"1,765.3",Jun-23,KIM SENG ROAD,Resale,Strata,164.0,Condominium,1,Freehold,9,Core Central Region,11 to 15,4300000
A TREASURE TROVE,"1,205.57",May-23,PUNGGOL WALK,Resale,Strata,112,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05,1720000
HILLOCK GREEN,656.6,Nov-23,LENTOR CENTRAL,New Sale,Strata,61.0,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,11 to 15,1449000
STARS OF KOVAN,516.67,Aug-21,UPPER SERANGOON ROAD,Resale,Strata,48,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,06 to 10,860000
SENNETT RESIDENCE,505.91,Oct-22,PHENG GECK AVENUE,Resale,Strata,47,Condominium,1,99 yrs lease commencing from 2011,13,Rest of Central Region,01 to 05,865000
PARC KOMO,"1,808.35",Nov-21,UPPER CHANGI ROAD NORTH,New Sale,Strata,168,Apartment,1,Freehold,17,Outside Central Region,01 to 05,2793960
THE CLEMENT CANOPY,"1,345.5",Aug-21,CLEMENTI AVENUE 1,Resale,Strata,125,Apartment,1,99 yrs lease commencing from 2016,5,Outside Central Region,11 to 15,2038888
PALM ISLES,"1,119.46",Dec-23,FLORA DRIVE,Resale,Strata,104.0,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05,1300000
THE FLORENCE RESIDENCES,721.19,Apr-24,HOUGANG AVENUE 2,Sub Sale,Strata,67,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05,1230000
THE SUNSHINE,"1,237.86",May-21,SUNSHINE TERRACE,Resale,Strata,115,Apartment,1,Freehold,19,Outside Central Region,06 to 10,1350000
KINGSFORD WATERBAY,678.13,May-21,UPPER SERANGOON VIEW,Resale,Strata,63,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10,875000
WHITESCAPE,"1,356.26",Oct-21,LORONG N TELOK KURAU,Resale,Strata,126,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1490000
FLORIDIAN,"1,657.66",Jul-22,BUKIT TIMAH ROAD,Resale,Strata,154,Condominium,1,Freehold,21,Rest of Central Region,01 to 05,3608000
SIMS URBAN OASIS,441.32,Apr-22,SIMS DRIVE,Resale,Strata,41,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,06 to 10,765000
GRANDEUR PARK RESIDENCES,548.96,Aug-20,BEDOK SOUTH AVENUE 3,New Sale,Strata,51,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,01 to 05,894000
ESPADA,559.73,Oct-21,ST. THOMAS WALK,Resale,Strata,52,Apartment,1,Freehold,9,Core Central Region,21 to 25,1230000
UNION SQUARE RESIDENCES,731.95,Nov-24,HAVELOCK ROAD,New Sale,Strata,68.0,Apartment,1,99 yrs lease commencing from 2024,1,Rest of Central Region,21 to 25,2376000
PARVIS,"2,260.44",Aug-20,HOLLAND HILL,Resale,Strata,210,Condominium,1,Freehold,10,Core Central Region,01 to 05,3750000
SEASTRAND,"1,194.8",Jan-21,PASIR RIS LINK,Resale,Strata,111,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,01 to 05,1160000
VIEW AT KISMIS,602.78,Jan-21,LORONG KISMIS,New Sale,Strata,56,Apartment,1,99 yrs lease commencing from 2019,21,Rest of Central Region,01 to 05,1041000
THE WOODGROVE,828.83,Nov-22,WOODGROVE DRIVE,Resale,Strata,77,Apartment,1,99 yrs lease commencing from 1996,25,Outside Central Region,06 to 10,820000
ARCHIPELAGO,527.44,Jul-22,BEDOK RESERVOIR ROAD,Resale,Strata,49,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05,712000
THE REEF AT KING'S DOCK,882.65,Aug-21,HARBOURFRONT AVENUE,New Sale,Strata,82,Condominium,1,99 yrs lease commencing from 2021,4,Rest of Central Region,01 to 05,2272000
THE DAIRY FARM,"2,131.27",Jan-21,DAIRY FARM ROAD,Resale,Strata,198,Condominium,1,Freehold,23,Outside Central Region,01 to 05,2410000
D'NEST,753.48,Apr-21,PASIR RIS GROVE,Resale,Strata,70,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10,770000
PARVIS,"1,700.71",Sep-24,HOLLAND HILL,Resale,Strata,158.0,Condominium,1,Freehold,10,Core Central Region,06 to 10,4280000
CARABELLE,882.65,Feb-21,WEST COAST WAY,Resale,Strata,82,Condominium,1,956 yrs lease commencing from 1928,5,Outside Central Region,06 to 10,1200000
VIEW AT KISMIS,699.66,Aug-20,LORONG KISMIS,New Sale,Strata,65,Apartment,1,99 yrs lease commencing from 2019,21,Rest of Central Region,01 to 05,1220000
CARABELLE,947.23,Jan-23,WEST COAST WAY,Resale,Strata,88,Condominium,1,956 yrs lease commencing from 1928,5,Outside Central Region,11 to 15,1520000
ATLASSIA,"1,248.62",May-22,JOO CHIAT PLACE,New Sale,Strata,116,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,2496102
CITYVISTA RESIDENCES,"2,142.04",Sep-21,PECK HAY ROAD,Resale,Strata,199,Condominium,1,Freehold,9,Core Central Region,06 to 10,4063888
THE BAYSHORE,"1,259.39",Jul-24,BAYSHORE ROAD,Resale,Strata,117,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,01 to 05,1520000
THE BROOKS II,818.06,Nov-22,SPRINGSIDE GREEN,Resale,Strata,76,Apartment,1,Freehold,26,Outside Central Region,01 to 05,1250000
GRANDLINK SQUARE,"1,614.6",Jun-22,GUILLEMARD ROAD,Resale,Strata,150,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,1780000
SIGLAP V,581.26,May-22,FIRST STREET,Resale,Strata,54,Apartment,1,Freehold,15,Outside Central Region,01 to 05,846000
PULLMAN RESIDENCES NEWTON,667.37,Sep-20,DUNEARN ROAD,New Sale,Strata,62,Apartment,1,Freehold,11,Core Central Region,11 to 15,1859000
AMBER PARK,"1,302.44",Jul-22,AMBER GARDENS,New Sale,Strata,121,Condominium,1,Freehold,15,Rest of Central Region,06 to 10,3234000
PINETREE HILL,796.54,Jul-23,PINE GROVE,New Sale,Strata,74.0,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,11 to 15,1969000
OPTIMA @ TANAH MERAH,914.94,Oct-23,TANAH MERAH KECHIL AVENUE,Resale,Strata,85.0,Condominium,1,99 yrs lease commencing from 2008,16,Outside Central Region,01 to 05,1250000
THE WATERGARDENS AT CANBERRA,753.48,Aug-21,CANBERRA DRIVE,New Sale,Strata,70,Apartment,1,99 yrs lease commencing from 2020,27,Outside Central Region,01 to 05,1129000
SUNHAVEN,"1,754.53",Oct-21,UPPER CHANGI ROAD EAST,Resale,Strata,163,Condominium,1,Freehold,16,Outside Central Region,06 to 10,1560000
ONE PEARL BANK,"1,151.75",Apr-21,PEARL BANK,New Sale,Strata,107,Apartment,1,99 yrs lease commencing from 2019,3,Rest of Central Region,11 to 15,2635000
THE WATERGARDENS AT CANBERRA,678.13,Aug-21,CANBERRA DRIVE,New Sale,Strata,63,Apartment,1,99 yrs lease commencing from 2020,27,Outside Central Region,01 to 05,1004000
HILLOCK GREEN,"1,184.04",Jun-24,LENTOR CENTRAL,New Sale,Strata,110,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,01 to 05,2429000
GAMBIR RIDGE,"1,216.33",Nov-23,GAMBIR WALK,Resale,Strata,113.0,Apartment,1,Freehold,19,Outside Central Region,01 to 05,1900000
THE MILTONIA RESIDENCES,"1,517.72",Dec-22,MILTONIA CLOSE,Resale,Strata,141,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05,1550000
AVENUE SOUTH RESIDENCE,"1,108.69",Feb-21,SILAT AVENUE,New Sale,Strata,103,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,26 to 30,2250000
TREASURE AT TAMPINES,"1,033.34",Aug-20,TAMPINES LANE,New Sale,Strata,96,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05,1355000
PINETREE HILL,"1,216.33",Oct-24,PINE GROVE,New Sale,Strata,113.0,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,06 to 10,3050000
THE PETALS,"1,119.46",Dec-20,HILLVIEW AVENUE,Resale,Strata,104,Condominium,1,Freehold,23,Outside Central Region,06 to 10,1050000
CASA MERAH,958,Oct-21,TANAH MERAH KECHIL AVENUE,Resale,Strata,89,Apartment,1,99 yrs lease commencing from 2006,16,Outside Central Region,06 to 10,1170000
HILLSTA,850.36,Sep-21,PHOENIX ROAD,Resale,Strata,79,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,01 to 05,888000
J'DEN,"1,140.98",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,106.0,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,31 to 35,2832000
EMERALD OF KATONG,990.29,Nov-24,JALAN TEMBUSU,New Sale,Strata,92.0,Condominium,1,99 yrs lease commencing from 2023,15,Rest of Central Region,16 to 20,2722000
OXLEY EDGE,419.8,Aug-21,RIVER VALLEY ROAD,Resale,Strata,39,Apartment,1,Freehold,9,Core Central Region,01 to 05,880000
THE PEAK @ CAIRNHILL II,904.18,Nov-24,CAIRNHILL CIRCLE,Resale,Strata,84.0,Apartment,1,Freehold,9,Core Central Region,01 to 05,1838888
NORMANTON PARK,731.95,Jun-21,NORMANTON PARK,New Sale,Strata,68,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,01 to 05,1337500
ESPA,958,Oct-20,CASHEW ROAD,Resale,Strata,89,Condominium,1,999 yrs lease commencing from 1882,23,Outside Central Region,01 to 05,1130000
J'DEN,"1,140.98",Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,106.0,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,36 to 40,2898000
CHANGI RISE CONDOMINIUM,"1,022.58",Nov-20,SIMEI RISE,Resale,Strata,95,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,01 to 05,782000
CHILTERN PARK,"1,571.54",Dec-21,SERANGOON AVENUE 3,Resale,Strata,146,Condominium,1,99 yrs lease commencing from 1991,19,Outside Central Region,06 to 10,1900000
LIV @ MB,"1,205.57",Jul-23,ARTHUR ROAD,New Sale,Strata,112.0,Condominium,1,99 yrs lease commencing from 2021,15,Rest of Central Region,01 to 05,2806000
BARTLEY RESIDENCES,"1,065.64",Nov-24,LORONG HOW SUN,Resale,Strata,99.0,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15,1980000
EASTPOINT GREEN,968.76,Jun-23,SIMEI STREET 3,Resale,Strata,90.0,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,01 to 05,1040000
TRILIGHT,"2,098.98",May-21,NEWTON ROAD,Resale,Strata,195,Condominium,1,Freehold,11,Core Central Region,16 to 20,4200000
REGENTVILLE,"1,151.75",Apr-21,HOUGANG STREET 92,Resale,Strata,107,Apartment,1,99 yrs lease commencing from 1996,19,Outside Central Region,11 to 15,930000
CANNINGHILL PIERS,"2,787.88",Aug-23,CLARKE QUAY,New Sale,Strata,259.0,Apartment,1,99 yrs lease commencing from 2021,6,Rest of Central Region,21 to 25,8616000
TREASURE AT TAMPINES,"1,237.86",Aug-21,TAMPINES LANE,New Sale,Strata,115,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05,1643000
AURALIS,462.85,Mar-21,EAST COAST ROAD,Resale,Strata,43,Apartment,1,Freehold,15,Outside Central Region,01 to 05,703000
SIGLAP V,516.67,Jul-21,FIRST STREET,Resale,Strata,48,Apartment,1,Freehold,15,Outside Central Region,01 to 05,725000
LENTOR HILLS RESIDENCES,753.48,May-24,LENTOR HILLS ROAD,New Sale,Strata,70,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20,1786000
THE CENTRIS,"2,098.98",Mar-22,JURONG WEST CENTRAL 3,Resale,Strata,195,Apartment,1,99 yrs lease commencing from 2006,22,Outside Central Region,01 to 05,1900000
KINGSFORD . HILLVIEW PEAK,548.96,Dec-21,HILLVIEW RISE,Resale,Strata,51,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,06 to 10,750000
ECO SANCTUARY,990.29,Jun-22,CHESTNUT AVENUE,Resale,Strata,92,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,11 to 15,1480000
THE IVERIA,947.23,Dec-20,KIM YAM ROAD,New Sale,Strata,88,Apartment,1,Freehold,9,Core Central Region,01 to 05,2292000
CANNINGHILL PIERS,"1,948.28",Jan-22,CLARKE QUAY,New Sale,Strata,181,Apartment,1,99 yrs lease commencing from 2021,6,Rest of Central Region,06 to 10,5585000
BULLION PARK,807.3,Jun-24,LENTOR LOOP,Resale,Strata,75,Condominium,1,Freehold,26,Outside Central Region,06 to 10,1300000
PARC CENTROS,473.62,Sep-21,PUNGGOL CENTRAL,Resale,Strata,44,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10,660000
FOURTH AVENUE RESIDENCES,"1,485.43",Oct-21,FOURTH AVENUE,New Sale,Strata,138,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,06 to 10,3938000
CANNINGHILL PIERS,796.54,Jun-22,CLARKE QUAY,New Sale,Strata,74,Apartment,1,99 yrs lease commencing from 2021,6,Rest of Central Region,41 to 45,2383200
MAYSPRINGS,818.06,Dec-23,PETIR ROAD,Resale,Strata,76.0,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,16 to 20,900000
THE FLORENCE RESIDENCES,484.38,Oct-20,HOUGANG AVENUE 2,New Sale,Strata,45,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15,809000
KOVAN REGENCY,"1,130.22",Sep-20,KOVAN RISE,Resale,Strata,105,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10,1580000
VACANZA @ EAST,667.37,Aug-23,LENGKONG TUJOH,Resale,Strata,62.0,Condominium,1,Freehold,14,Outside Central Region,01 to 05,818000
THE HYDE,775.01,Jan-21,BALMORAL ROAD,New Sale,Strata,72,Condominium,1,Freehold,10,Core Central Region,01 to 05,2203000
FOURTH AVENUE RESIDENCES,484.38,Sep-20,FOURTH AVENUE,New Sale,Strata,45,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,01 to 05,1115000
LENTOR HILLS RESIDENCES,753.48,Sep-23,LENTOR HILLS ROAD,New Sale,Strata,70.0,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,11 to 15,1672000
CLAVON,527.44,Dec-24,CLEMENTI AVENUE 1,Sub Sale,Strata,49.0,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,26 to 30,1090000
THE FLORENCE RESIDENCES,484.38,Sep-20,HOUGANG AVENUE 2,New Sale,Strata,45,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,747000
BURLINGTON SQUARE,828.83,Jul-23,BENCOOLEN STREET,Resale,Strata,77.0,Apartment,1,99 yrs lease commencing from 1996,7,Rest of Central Region,06 to 10,1220000
PANDAN VALLEY,"2,238.91",May-23,PANDAN VALLEY,Resale,Strata,208,Condominium,1,Freehold,21,Rest of Central Region,11 to 15,3200000
PARC VISTA,"1,259.39",Jan-24,CORPORATION ROAD,Resale,Strata,117,Condominium,1,99 yrs lease commencing from 1995,22,Outside Central Region,06 to 10,1450000
THE FLORENCE RESIDENCES,936.47,Dec-20,HOUGANG AVENUE 2,New Sale,Strata,87,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15,1479000
AMBER PARK,678.13,Jul-21,AMBER GARDENS,New Sale,Strata,63,Condominium,1,Freehold,15,Rest of Central Region,11 to 15,1777030
TRILIVE,462.85,Feb-21,TAMPINES ROAD,Resale,Strata,43,Condominium,1,Freehold,19,Outside Central Region,01 to 05,838000
LAKEVILLE,"1,528.49",Jul-22,JURONG LAKE LINK,Resale,Strata,142,Condominium,1,99 yrs lease commencing from 2013,22,Outside Central Region,06 to 10,2540000
NORTHVALE,"1,259.39",Sep-22,CHOA CHU KANG LOOP,Resale,Strata,117,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05,1090000
D'LEEDON,"1,829.88",Jan-24,LEEDON HEIGHTS,Resale,Strata,170,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,21 to 25,3650000
